X matrix 
 [-7.73660498e-05 -8.60584683e-04  9.37950733e-04]
 [-7.34540041e-05 -8.21442446e-04  8.94896450e-04]
 [-6.97543281e-05 -7.84057795e-04  8.53812123e-04]
 [-6.62634898e-05 -7.48398935e-04  8.14662425e-04]
 [-6.29779576e-05 -7.14434073e-04  7.77412030e-04]
 [-5.98941995e-05 -6.82131413e-04  7.42025613e-04]
 [-5.70086837e-05 -6.51459162e-04  7.08467846e-04]
 [-5.43178784e-05 -6.22385525e-04  6.76703403e-04]
 [-5.18182518e-05 -5.94878707e-04  6.46696959e-04]
 [-4.95062719e-05 -5.68906914e-04  6.18413186e-04]
 [-4.73784070e-05 -5.44438352e-04  5.91816759e-04]
 [-4.54063443e-05 -5.21351551e-04  5.66757895e-04]
 [-4.33786139e-05 -4.98775584e-04  5.42154198e-04]
 [-4.13897266e-05 -4.76885112e-04  5.18274838e-04]
 [-3.94766293e-05 -4.55791712e-04  4.95268342e-04]
 [-3.76382078e-05 -4.35483271e-04  4.73121478e-04]
 [-3.58733477e-05 -4.15947671e-04  4.51821018e-04]
 [-3.41809349e-05 -3.97172796e-04  4.31353731e-04]
 [-3.25598549e-05 -3.79146532e-04  4.11706387e-04]
 [-3.10089935e-05 -3.61856761e-04  3.92865754e-04]
 [-2.95272366e-05 -3.45291368e-04  3.74818604e-04]
 [-2.81134697e-05 -3.29438236e-04  3.57551706e-04]
 [-2.67665786e-05 -3.14285251e-04  3.41051829e-04]
 [-2.54854491e-05 -2.99820295e-04  3.25305744e-04]
 [-2.42689669e-05 -2.86031253e-04  3.10300220e-04]
 [-2.31160177e-05 -2.72906009e-04  2.96022027e-04]
 [-2.20254872e-05 -2.60432447e-04  2.82457934e-04]
 [-2.09962611e-05 -2.48598451e-04  2.69594712e-04]
 [-2.00272253e-05 -2.37391905e-04  2.57419130e-04]
 [-1.91172653e-05 -2.26800693e-04  2.45917958e-04]
 [-1.82652670e-05 -2.16812698e-04  2.35077965e-04]
 [-1.74701160e-05 -2.07415806e-04  2.24885922e-04]
 [-1.67306982e-05 -1.98597900e-04  2.15328598e-04]
 [-1.60163637e-05 -1.90127265e-04  2.06143629e-04]
 [-1.53017525e-05 -1.81781221e-04  1.97082973e-04]
 [-1.46133343e-05 -1.73736398e-04  1.88349733e-04]
 [-1.39508207e-05 -1.65988991e-04  1.79939812e-04]
 [-1.33138226e-05 -1.58534473e-04  1.71848296e-04]
 [-1.27019508e-05 -1.51368316e-04  1.64070267e-04]
 [-1.21148164e-05 -1.44485995e-04  1.56600811e-04]
 [-1.15520301e-05 -1.37882981e-04  1.49435011e-04]
 [-1.10132029e-05 -1.31554748e-04  1.42567951e-04]
 [-1.04979457e-05 -1.25496770e-04  1.35994716e-04]
 [-1.00058693e-05 -1.19704519e-04  1.29710388e-04]
 [-9.53658465e-06 -1.14173469e-04  1.23710054e-04]
 [-9.08970266e-06 -1.08899093e-04  1.17988795e-04]
 [-8.66483421e-06 -1.03876863e-04  1.12541697e-04]
 [-8.26159019e-06 -9.91022537e-05  1.07363844e-04]
 [-7.87958150e-06 -9.45707375e-05  1.02450319e-04]
 [-7.51841902e-06 -9.02777878e-05  9.77962068e-05]
 [-7.17771366e-06 -8.62188775e-05  9.33965912e-05]
 [-6.85707630e-06 -8.23894800e-05  8.92465563e-05]
 [-6.55611785e-06 -7.87850683e-05  8.53411861e-05]
 [-6.27444918e-06 -7.54011156e-05  8.16755647e-05]
 [-6.01021679e-06 -7.22187036e-05  7.82289203e-05]
 [-5.74864413e-06 -6.90886763e-05  7.48373205e-05]
 [-5.49393062e-06 -6.60458442e-05  7.15397748e-05]
 [-5.24845219e-06 -6.31127022e-05  6.83611544e-05]
 [-5.01208209e-06 -6.02877291e-05  6.52998112e-05]
 [-4.78469357e-06 -5.75694037e-05  6.23540973e-05]
 [-4.56615991e-06 -5.49562046e-05  5.95223645e-05]
 [-4.35635434e-06 -5.24466107e-05  5.68029650e-05]
 [-4.15515013e-06 -5.00391005e-05  5.41942506e-05]
 [-3.96242053e-06 -4.77321529e-05  5.16945734e-05]
 [-3.77803880e-06 -4.55242465e-05  4.93022853e-05]
 [-3.60187819e-06 -4.34138602e-05  4.70157384e-05]
 [-3.43381197e-06 -4.13994725e-05  4.48332845e-05]
 [-3.27371337e-06 -3.94795623e-05  4.27532756e-05]
 [-3.12145567e-06 -3.76526082e-05  4.07740639e-05]
 [-2.97691212e-06 -3.59170890e-05  3.88940011e-05]
 [-2.83995596e-06 -3.42714834e-05  3.71114394e-05]
 [-2.71046047e-06 -3.27142701e-05  3.54247306e-05]
 [-2.58829889e-06 -3.12439279e-05  3.38322268e-05]
 [-2.47334447e-06 -2.98589355e-05  3.23322799e-05]
 [-2.36547049e-06 -2.85577715e-05  3.09232420e-05]
 [-2.26455018e-06 -2.73389148e-05  2.96034649e-05]
 [-2.16969009e-06 -2.61920776e-05  2.83617677e-05]
 [-2.07328068e-06 -2.50301387e-05  2.71034194e-05]
 [-2.07328068e-06 -2.50301387e-05  2.71034194e-05]]
